Tree,Ortho Groups,Empty-Ortho Groups,Dups,Ind. Dups
849,2,0,18,11
850,2,0,30,23
851,1,1,0,0
852,3,1,27,13
853,8,2,72,42
854,3,1,8,6
855,1,0,7,4
856,2,0,22,16
857,2,0,18,12
858,0,0,0,0
859,3,1,13,10
860,2,1,30,20
861,1,0,4,3
862,4,2,17,13
863,4,1,25,17
864,1,1,0,0
865,3,0,12,9
866,2,0,27,21
867,2,0,15,10
868,2,1,7,5
869,3,1,9,7
870,2,1,10,6
871,1,1,0,0
872,2,1,9,7
873,2,0,26,16
874,3,1,25,15
875,2,0,35,16
876,4,1,42,18
877,2,0,36,23
878,3,0,19,10
879,1,1,0,0
880,1,0,4,4
881,2,0,13,10
882,2,1,1,1
883,0,0,0,0
884,2,0,9,8
885,2,0,28,19
886,1,0,12,7
887,12,4,101,56
888,2,0,78,31
889,1,0,10,9
890,2,1,25,17
891,2,0,29,19
892,5,1,20,15
893,4,1,11,9
894,1,0,12,8
895,1,0,6,5
896,3,1,16,10
897,4,0,38,25
898,3,1,11,8
899,4,1,26,17
900,2,0,10,9
901,2,0,27,19
902,2,0,32,23
903,2,0,28,20
904,2,0,54,27
905,2,0,7,5
906,2,0,12,9
907,2,0,51,40
908,5,2,13,11
909,2,0,26,20
910,3,2,22,15
911,2,1,5,3
912,2,1,23,14
913,3,1,31,26
914,2,0,21,16
915,4,1,13,10
916,3,0,20,16
917,3,0,13,12
918,2,0,16,12
919,2,0,18,14
920,2,0,24,20
921,2,0,10,10
922,2,0,17,12
923,1,0,144,61
924,1,0,157,81
925,1,0,7,6
926,2,0,15,8
927,2,1,2,2
928,2,1,4,2
929,2,0,27,19
930,2,0,16,12
931,7,5,12,9
932,2,1,10,8
933,3,2,5,3
934,2,2,0,0
935,2,0,12,8
936,1,0,5,4
937,3,0,18,15
938,4,0,42,28
939,2,0,17,11
940,3,0,15,9
941,1,0,105,43
942,2,0,34,20
943,2,0,20,14
944,2,0,26,18
945,1,0,3,2
946,3,1,15,9
947,2,0,27,12
948,2,1,122,53
949,3,0,62,44
950,4,2,13,9
951,3,1,8,6
952,2,0,20,15
953,4,3,3,3
954,1,0,9,5
955,2,0,20,13
956,2,2,0,0
957,2,1,46,21
958,3,1,96,50
959,3,3,0,0
960,1,0,2,1
961,2,0,42,23
962,3,2,10,6
963,6,2,33,16
964,1,0,5,5
965,1,0,9,7
